Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2021
02294;Étouvelles;207
02295;Étréaupont;848
02296;Étreillers;1182
02297;Étrépilly;125
02298;Étreux;1457
02299;Évergnicourt;529
02302;Faverolles;340
02303;Fayet;698
02304;La Fère;2850
02305;Fère-en-Tardenois;2925
02306;La Ferté-Chevresis;514
02307;La Ferté-Milon;2047
02308;Fesmy-le-Sart;503
02309;Festieux;695
02310;Fieulaine;249
02311;Filain;119
02312;La Flamengrie;1093
02313;Flavigny-le-Grand-et-Beaurain;440
02315;Flavy-le-Martel;1661
02316;Fleury;125
02317;Fluquières;205
02318;Folembray;1370
02319;Fonsomme;503
02320;Fontaine-lès-Clercs;229
02321;Fontaine-lès-Vervins;876
02322;Fontaine-Notre-Dame;381
02323;Fontaine-Uterte;136
02324;Fontenelle;297
02326;Fontenoy;464
02327;Foreste;161
02328;Fossoy;513
02329;Fourdrain;424
02330;Francilly-Selency;562
02331;Franqueville;108
02332;Fresnes-en-Tardenois;274
02333;Fresnes-sous-Coucy;161
02334;Fresnoy-le-Grand;2934
02335;Fressancourt;175
02336;Frières-Faillouël;981
02337;Froidestrées;185
02338;Froidmont-Cohartille;248
02339;Gandelu;699
02340;Gauchy;5204
02341;Gercy;257
02342;Gergny;131
02343;Germaine;83
02345;Gibercourt;38
02346;Gizy;644
02347;Gland;432
02349;Goudelancourt-lès-Berrieux;59
02350;Goudelancourt-lès-Pierrepont;139
02351;Goussancourt;113
02352;Gouy;567
02353;Grandlup-et-Fay;275
02354;Grandrieux;79
02355;Gricourt;998
02356;Grisolles;233
02357;Gronard;66
02358;Grougis;315
02359;Grugies;1259
02360;Villeneuve-sur-Aisne;2784
02361;Guise;4533
02362;Guivry;239
02363;Guny;368
02364;Guyencourt;250
02366;Hannapes;327
02367;Happencourt;161
02368;Haramont;560
02369;Harcigny;243
02370;Hargicourt;571
02371;Harly;1557
02372;Hartennes-et-Taux;339
02373;Hary;189
02374;Lehaucourt;843
02375;Hautevesnes;161
02376;Hauteville;179
02377;Haution;132
02378;La Hérie;123
02379;Le Hérie-la-Viéville;195
02380;Hinacourt;27
02381;Hirson;8662
02382;Holnon;1356
02383;Homblières;1433
02384;Houry;58
02385;Housset;167
02386;Iron;221
02387;Itancourt;999
02388;Iviers;220
02389;Jaulgonne;665
02390;Jeancourt;255
02391;Jeantes;218
02392;Joncourt;319
02393;Jouaignes;138
02395;Jumencourt;132
02396;Jumigny;63
02397;Jussy;1219
02398;Juvigny;280
02399;Juvincourt-et-Damary;611
02400;Laffaux;152
02401;Laigny;187
02402;Lanchy;37
02403;Landifay-et-Bertaignemont;255
02404;Landouzy-la-Cour;175
02405;Landouzy-la-Ville;524
02406;Landricourt;130
02407;Laniscourt;210
02408;Laon;24021
02409;Lappion;277
02410;Largny-sur-Automne;241
02411;Latilly;199
02412;Launoy;99
02413;Laval-en-Laonnois;244
02414;Lavaqueresse;200
02415;Laversine;157
02416;Lemé;415
02417;Lempire;123
02418;Lerzy;224
02419;Leschelle;268
02420;Lesdins;827
02421;Lesges;91
02422;Lesquielles-Saint-Germain;797
02423;Leuilly-sous-Coucy;436
02424;Leury;102
02425;Leuze;180
02426;Levergies;541
02427;Lhuys;139
02428;Licy-Clignon;74
02429;Lierval;124
02430;Liesse-Notre-Dame;1268
02431;Liez;381
02432;Limé;191
02433;Lislet;221
02435;Logny-lès-Aubenton;83
02438;Longpont;242
02439;Les Septvallons;1215
02440;Lor;137
02441;Louâtre;176
02442;Loupeigne;89
02443;Lucy-le-Bocage;209
02444;Lugny;127
02445;Luzoir;272
02446;Ly-Fontaine;118
02447;Maast-et-Violaine;140
02448;Mâchecourt;113
02449;Macogny;63
02450;Macquigny;358
02451;Magny-la-Fosse;122
02452;Maissemy;234
02453;Maizy;403
02454;La Malmaison;404
02455;Malzy;189
02456;Manicamp;300
02457;Marchais;392
02458;Dhuys et Morin-en-Brie;823
02459;Marcy;155
02460;Marcy-sous-Marle;205
02461;Marest-Dampcourt;356
02462;Mareuil-en-Dôle;226
02463;Marfontaine;84
02464;Margival;362
02465;Marigny-en-Orxois;528
02466;Marizy-Sainte-Geneviève;129
02467;Marizy-Saint-Mard;49
02468;Marle;2221
02469;Marly-Gomont;488
02470;Martigny;432
02471;Martigny-Courpierre;134
02472;Mauregny-en-Haye;399
02473;Mayot;220
02474;Mennessis;394
02476;Mennevret;671
02477;Mercin-et-Vaux;954
02478;Merlieux-et-Fouquerolles;257
02480;Mesbrecourt-Richecourt;318
02481;Mesnil-Saint-Laurent;465
02482;Meurival;55
02483;Mézières-sur-Oise;510
02484;Mézy-Moulins;543
02485;Missy-aux-Bois;97
02486;Missy-lès-Pierrepont;106
02487;Missy-sur-Aisne;619
02488;Molain;159
02489;Molinchart;349
02490;Monampteuil;123
02491;Monceau-le-Neuf-et-Faucouzy;321
02492;Monceau-lès-Leups;439
02493;Monceau-le-Waast;221
02494;Monceau-sur-Oise;128
02495;Mondrepuis;1038
02496;Monnes;96
02497;Mons-en-Laonnois;1149
02498;Montaigu;764
02499;Montbavin;41
02500;Montbrehain;810
02501;Montchâlons;85
02502;Montcornet;1257
02503;Mont-d'Origny;826
02504;Montescourt-Lizerolles;1614
02505;Montfaucon;208
02506;Montgobert;200
02507;Montgru-Saint-Hilaire;30
02508;Monthenault;151
02509;Monthiers;155
02510;Monthurel;142
02511;Montigny-en-Arrouaise;310
02512;Montigny-l'Allier;268
02513;Montigny-le-Franc;135
02514;Montigny-Lengrain;695
02515;Montigny-lès-Condé;52
02516;Montigny-sous-Marle;70
02517;Montigny-sur-Crécy;292
02518;Montlevon;300
02519;Montloué;190
02520;Mont-Notre-Dame;733
02521;Montreuil-aux-Lions;1351
02522;Mont-Saint-Jean;83
02523;Mont-Saint-Martin;71
02524;Mont-Saint-Père;691
02525;Morcourt;556
02526;Morgny-en-Thiérache;104
02527;Morsain;466
02528;Mortefontaine;221
02529;Mortiers;182
02530;Moulins;77
02531;Moussy-Verneuil;132
02532;Moÿ-de-l'Aisne;979
02533;Muret-et-Crouttes;106
02534;Muscourt;45
02535;Nampcelles-la-Cour;113
02536;Nampteuil-sous-Muret;98
02537;Nanteuil-la-Fosse;207
02538;Nanteuil-Notre-Dame;77
02539;Nauroy;686
02540;Nesles-la-Montagne;1206
02541;Neufchâtel-sur-Aisne;421
02542;Neuflieux;80
02543;Neuilly-Saint-Front;2018
02544;Neuve-Maison;610
02545;La Neuville-Bosmont;187
02546;La Neuville-en-Beine;186
02547;La Neuville-Housset;64
02548;La Neuville-lès-Dorengt;386
02549;Neuville-Saint-Amand;859
02550;Neuville-sur-Ailette;120
02551;Neuville-sur-Margival;112
02552;Neuvillette;191
02553;Nizy-le-Comte;240
